id	name	population	
CHN	China	"54.3"	
IND	India	"62.4"	
USA	United States	"8.2"	
IDN	Indonesia	"14.4"	
BRA	Brazil	"10.5"	
PAK	Pakistan	"59.8"	
BGD	Bangladesh	"83.5"	
NGA	Nigeria	"38.8"	
RUS	Russia	"14.8"	
JPN	Japan	"25.5"	
MEX	Mexico	"19.5"	
PHL	Philippines	"22.2"	
VNM	Vietnam	"25.7"	
ETH	Ethiopia	"29.7"	
DEU	Germany	"13.5"	
EGY	Egypt	"92.8"	
TUR	Turkey	"33.5"	
COD	"Congo, Democratic Republic of the"	"0"	
IRN	Iran	"41.6"	
THA	Thailand	"24.6"	
FRA	France	"12"	
GBR	United Kingdom	"12.1"	
ITA	Italy	"17.2"	
MMR	Burma	"0"	
ZAF	South Africa	"27.4"	
KOR	"Korea, South"	"26.8"	
UKR	Ukraine	"16.4"	
COL	Colombia	"16.9"	
SDN	Sudan	"43.7"	
TZA	Tanzania	"21.7"	
ARG	Argentina	"13"	
ESP	Spain	"9.5"	
KEN	Kenya	"15.5"	
POL	Poland	"24.1"	
DZA	Algeria	"26.5"	
CAN	Canada	"7"	
UGA	Uganda	"57.2"	
MAR	Morocco	"20.3"	
PER	Peru	"26.1"	
IRQ	Iraq	"49.7"	
SAU	Saudi Arabia	"107.7"	
AFG	Afghanistan	"46"	
NPL	Nepal	"64"	
UZB	Uzbekistan	"31.7"	
VEN	Venezuela	"22.5"	
MYS	Malaysia	"14.8"	
GHA	Ghana	"23.7"	
YEM	Yemen	"42.7"	
TWN	Taiwan	"0"	
PRK	"Korea, North"	"26.6"	
SYR	Syria	"33.9"	
ROU	Romania	"18.8"	
MOZ	Mozambique	"16.9"	
AUS	Australia	"5.7"	
LKA	Sri Lanka	"26.7"	
MDG	Madagascar	"17.2"	
CIV	Cote d'Ivoire	"0"	
CMR	Cameroon	"65.2"	
NLD	Netherlands	"14.6"	
CHL	Chile	"19.8"	
BFA	Burkina Faso	"36.6"	
NER	Niger	"59.4"	
KAZ	Kazakhstan	"15.4"	
MWI	Malawi	"22"	
ECU	Ecuador	"13.3"	
KHM	Cambodia	"13.13"	
SEN	Senegal	"33.8"	
MLI	Mali	"39.2"	
GTM	Guatemala	"32.1"	
AGO	Angola	"23.4"	
ZMB	Zambia	"19.6"	
ZWE	Zimbabwe	"19.6"	
CUB	Cuba	"16.6"	
RWA	Rwanda	"42.8"	
GRC	Greece	"12.2"	
PRT	Portugal	"9.4"	
TUN	Tunisia	"26.4"	
TCD	Chad	"29.5"	
BEL	Belgium	"15.5"	
GIN	Guinea	"21"	
CZE	Czech Republic	"20.1"	
SOM	Somalia	"15.9"	
BOL	Bolivia	"27.1"	
HUN	Hungary	"21.4"	
BDI	Burundi	"38"	
DOM	Dominican Republic	"16.2"	
BLR	Belarus	"17.4"	
HTI	Haiti	"21.7"	
SWE	Sweden	"5.7"	
BEN	Benin	"31"	
AZE	Azerbaijan	"23.8"	
AUT	Austria	"16"	
HND	Honduras	"17.4"	
CHE	Switzerland	"21.7"	
TJK	Tajikistan	"40.8"	
ISR	Israel	"19.1"	
SRB	Serbia	"19.4"	
BGR	Bulgaria	"26.8"	
HKG	Hong Kong	"0"	
LAO	Laos	"26.8"	
LBY	Libya	"61.1"	
JOR	Jordan	"35.9"	
PRY	Paraguay	"14.9"	
TGO	Togo	"28.3"	
PNG	Papua New Guinea	"10.4"	
SLV	El Salvador	"35.1"	
NIC	Nicaragua	"23.6"	
ERI	Eritrea	"35.4"	
DNK	Denmark	"10.3"	
KGZ	Kyrgyzstan	"15"	
SVK	Slovakia	"19.3"	
FIN	Finland	"6.9"	
SLE	Sierra Leone	"17.7"	
